"source_type","source_input","schedule_enabled","cron_expression","timezone","active","run_timeout_ms","run_max_retries","params"
"rss_feed","https://techcrunch.com/feed/","true","0 0 * * 0","Europe/London","true","","","{}"
"rss_feed","https://fredblog.stlouisfed.org/feed/","true","5 0 * * 0","Europe/London","true","","","{}"
"rss_feed","https://therisefuel.substack.com/feed","true","10 0 * * 0","Europe/London","true","","","{}"
"rss_feed","https://www.techrepublic.com/rssfeeds/topic/internet-of-things/","true","15 0 * * 0","Europe/London","true","","","{}"
"rss_feed","https://www.theverge.com/rss/index.xml","true","20 0 * * 0","Europe/London","true","","","{}"
"rss_feed","https://singularityhub.com/feed","true","25 0 * * 0","Europe/London","true","","","{}"
"rss_feed","https://www.semrush.com/blog","true","30 0 * * 0","Europe/London","true","","","{}"
"rss_feed","https://feeds.bbci.co.uk/news/world/rss.xml","true","35 0 * * 0","Europe/London","true","","","{}"
"rss_feed","https://www.technologyreview.com/feed/","true","40 0 * * 0","Europe/London","true","","","{}"
"rss_feed","https://feeds.bloomberg.com/markets/news.rss","true","45 0 * * 0","Europe/London","true","","","{}"
"rss_feed","https://www.cnbc.com/id/100003114/device/rss/rss.html","true","50 0 * * 0","Europe/London","true","","","{}"
"rss_feed","https://www.coindesk.com/arc/outboundfeeds/rss","true","55 0 * * 0","Europe/London","true","","","{}"
"rss_feed","https://www.ycombinator.com/blog/feed/","true","0 1 * * 0","Europe/London","true","","","{}"
"rss_feed","https://www.exponentialview.co/feed","true","5 1 * * 0","Europe/London","true","","","{}"
"rss_feed","https://www.weforum.org/","true","10 1 * * 0","Europe/London","true","","","{}"
"rss_feed","https://www.theblock.co/rss.xml","true","15 1 * * 0","Europe/London","true","","","{}"
"rss_feed","https://www.vox.com/rss/index.xml","true","20 1 * * 0","Europe/London","true","","","{}"
"rss_feed","https://www.wired.com/feed/rss","true","25 1 * * 0","Europe/London","true","","","{}"
